route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19025,DART,553,CAMP WISDOM STATION,null,3,null,663399,FFFFFF
19026,DART,554,LEDBETTER/BONNIE VIEW/PAUL QUINN,null,3,null,663399,FFFFFF
19027,DART,555,CAMP WISDOM/CEDAR VALLEY,null,3,null,663399,FFFFFF
19028,DART,560,LBJ SKILLMAN/SOUTH GARLAND STA.,null,3,null,663399,FFFFFF
19029,DART,566,DOWNTOWN GARLAND/NAAMAN FOREST HS,null,3,null,663399,FFFFFF
19030,DART,568,BAHAMA - KEENELAND,null,3,null,663399,FFFFFF
19031,DART,571,SPRING VALLEY/DTN GARLAND STA.,null,3,null,663399,FFFFFF
19032,DART,574,WOODS SUGARBERRY/WESTMORELAND STA,null,3,null,663399,FFFFFF
19033,DART,582,LBJ/CENTRAL STA/WALNUT HILL STA,null,3,null,663399,FFFFFF
19034,DART,583,RICHLAND COLLEGE-LOVERS LANE STA,null,3,null,663399,FFFFFF
19035,DART,591,BUCKNER STATION - JIM MILLER,null,3,null,663399,FFFFFF
19036,DART,592,CHEYENNE-LAKE JUNE STATION,null,3,null,663399,FFFFFF
19037,DART,593,LAWNVIEW STATION-MASTERS,null,3,null,663399,FFFFFF
19038,DART,594,SPRUCE H S/LAKE JUNE STATION,null,3,null,663399,FFFFFF
19039,DART,595,PRAIRIE CREEK-MLK STATION,null,3,null,663399,FFFFFF
19040,DART,597,BUCKNER STATION-MILITARY PKW,null,3,null,663399,FFFFFF
19041,DART,702,NORTHPARK MALL / PARK LANE STA,null,3,null,000066,FFFFFF
19042,DART,704,PARKLAND STATION/HARRY HINES,null,3,null,000066,FFFFFF
19043,DART,705,PARKLAND STA/MEDICAL MARKET STA.,null,3,null,000066,FFFFFF
19044,DART,722,D-LINK,null,3,null,EC008C,FFFFFF
19045,DART,723,BISHOP ARTS SHUTTLE,null,3,null,000066,FFFFFF
19046,DART,743,BUSH/ MEADOWS-MOCKINGBIRD STA.,null,3,null,000066,FFFFFF
19047,DART,749,PARKLAND STATION/CONVENTION CENTER,null,3,null,000066,FFFFFF
19048,DART,768,MUSTANG EXPRESS,null,3,null,000066,FFFFFF
19053,DART,801,TERMINAL A&C/REMOTE SOUTH,null,3,null,000066,FFFFFF
19054,DART,802,TERMINAL B&E/REMOTE SOUTH,null,3,null,000066,FFFFFF
19055,DART,803,CENTREPORT/DFW REMOTE SOUTH,null,3,null,000066,FFFFFF
19056,DART,804,TERMINAL D/REMOTE PARKING,null,3,null,000066,FFFFFF
19057,DART,822,UT SOUTHWESTERN SOUTH,null,3,null,000066,FFFFFF
19058,DART,823,UT SOUTHWESTERN NORTH,null,3,null,000066,FFFFFF
19059,DART,824,PALISADES E-SHUTTLE,null,3,null,000066,FFFFFF
19060,DART,M-LINE,MCKINNEY AVENUE TROLLEY,null,5,null,000066,FFFFFF
19061,DART,826,TI SHUTTLE- MAIN CAMPUS NORTH ROUTE,null,3,null,000066,FFFFFF
19062,DART,827,TI SHUTTLE- MAIN CAMPUS SOUTH ROUTE,null,3,null,000066,FFFFFF
19063,DART,828,TI SHUTTLE - FOREST LANE CAMPUS,null,3,null,000066,FFFFFF
19064,DART,830,MEDICAL CITY E-SHUTTLE,null,3,null,000066,FFFFFF
19065,DART,831,BAYLOR NORTH ROUTE,null,3,null,000066,FFFFFF
19066,DART,832,BAYLOR SOUTH,null,3,null,000066,FFFFFF
19067,DART,833,BAYLOR BRYAN TOWER,null,3,null,000066,FFFFFF
19068,DART,840,DOWNTOWN IRVING FLEX,null,3,null,000066,FFFFFF
19069,DART,841,TELECOM CORRIDOR FLEX,null,3,null,000066,FFFFFF
19070,DART,842,BUCKNER STATION FLEX,null,3,null,000066,FFFFFF
19071,DART,843,SOUTH PLANO FLEX,null,3,null,000066,FFFFFF
19080,DART,870,EAST PLANO FLEX,null,3,null,000066,FFFFFF
19081,DART,883,UT DALLAS COMBINED,null,3,null,000066,FFFFFF
19082,DART,887,DOWNTOWN ROWLETT STATION  FLEX,null,3,null,000066,FFFFFF
19098,DART,987,RAPID RIDE,null,3,null,CC0000,FFFFFF
19118,DART,620,DALLAS STREETCAR,null,5,null,000066,FFFFFF
19125,DART,BLUE,DART LIGHT RAIL - BLUE LINE,null,0,null,0275A4,FFFFFF
19126,DART,GREEN,DART LIGHT RAIL - GREEN LINE,null,0,null,00873F,FFFFFF
19127,DART,ORANGE,DART LIGHT RAIL - ORANGE LINE,null,0,null,CC6600,FFFFFF
19128,DART,RED,DART LIGHT RAIL - RED LINE,null,0,null,CC0000,FFFFFF
19129,DART,TRE,TRINITY RAILWAY,null,2,null,003E7E,FFFFFF
